FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,CAPACITY
10003203,FCI OTISVILLE CAMP,TWO MILE DR,OTISVILLE,NY,10963,FEDERAL,OPEN,121,ORANGE,36071,USA,108
10004532,COFFEE COUNTY JAIL,THOMPSON DRIVE,DOUGLAS,GA,31533,COUNTY,OPEN,1,COFFEE,13069,USA,-999
10006598,ANN KLEIN FORENSIC CENTER,STUYVESANT AVENUE,WEST TRENTON,NJ,8628,STATE,OPEN,193,MERCER,34021,USA,200
10001940,FCI ASHLAND CAMP,STATE ROUTE 716,ASHLAND,KY,41105,FEDERAL,OPEN,187,BOYD,21019,USA,296
10001941,FCI ASHLAND,STATE ROUTE 716,ASHLAND,KY,41105,FEDERAL,OPEN,1026,BOYD,21019,USA,747
10001583,KEEN MOUNTAIN CORRECTIONAL CENTER,STATE ROUTE 629,OAKWOOD,VA,24631,STATE,OPEN,723,BUCHANAN,51027,USA,870
10000085,CUMMINS UNIT,STATE HWY 388,GRADY,AR,71644,STATE,OPEN,1899,LINCOLN,5079,USA,1876
10000724,YOUTH FORESTRY CAMP #2,STATE HIGHWAY 534,WHITE HAVEN,PA,18661,STATE,OPEN,30,CARBON,42025,USA,49
10001246,GUADALUPE COUNTY CORRECTIONAL FACILITY,SOUTH HWY 54,SANTA ROSA,NM,88435,STATE,OPEN,588,GUADALUPE,35019,USA,600
10000817,CORRECTIONAL TRAINING FACILITY (CTF),SOLEDAD PRISON ROAD,SOLEDAD,CA,93960,STATE,OPEN,4983,MONTEREY,6053,USA,3312
10005471,DEWEY COUNTY JAIL,RUBLE AVE & BROADWAY ST,TALOGA,OK,73667,COUNTY,OPEN,-999,DEWEY,40043,USA,23
10003066,USP ALLENWOOD,"RT. 15, 2 MILES N OF ALLENWOOD",ALLENWOOD,PA,17810,FEDERAL,OPEN,775,UNION,42119,USA,598
10003067,FCI ALLENWOOD LOW,"RT. 15, 2 MILES N OF ALLENWOOD",ALLENWOOD,PA,17810,FEDERAL,OPEN,1331,UNION,42119,USA,992
10003068,FCI ALLENWOOD MEDIUM,"RT. 15, 2 MILES N OF ALLENWOOD",WHITE DEER,PA,17810,FEDERAL,OPEN,1231,UNION,42119,USA,916
10000677,VANDALIA CORRECTIONAL CENTER,ROUTE 51 NORTH,VANDALIA,IL,62471,STATE,OPEN,1222,FAYETTE,17051,USA,1770
10005378,FCI DANBURY CAMP,ROUTE 37,DANBURY,CT,6811,FEDERAL,OPEN,173,FAIRFIELD,9001,USA,146
10000935,FCI DANBURY,ROUTE 37,DANBURY,CT,6811,FEDERAL,OPEN,815,FAIRFIELD,9001,USA,554
10003998,MIDDLESEX COUNTY ADULT CORRECTION CENTER,ROUTE 130 AND APPLE ORCHARD LANE,NORTH BRUNSWICK,NJ,8902,COUNTY,OPEN,1182,MIDDLESEX,34023,USA,1436
10001028,NORTON CORRECTIONAL FACILITY,ROAD EAST 4 AND UNITED STATES HIGHWAY 36,NORTON,KS,67654,STATE,OPEN,803,NORTON,20137,USA,867
10006208,NEW RIVER CORRECTIONAL WORK CAMP,PO BOX 900,RAIFORD,FL,32083,STATE,OPEN,421,UNION,12125,USA,-999
10001910,VARNER UNIT,PO BOX 600,GRADY,AR,71644,STATE,OPEN,1730,LINCOLN,5079,USA,1714
10006826,MERCER COUNTY JAIL,PO BOX 39,STANTON,ND,58571,COUNTY,OPEN,-999,MERCER,38057,USA,-999
10000441,MARION WORK CAMP,PO BOX 158,LOWELL,FL,32663,STATE,OPEN,274,MARION,12083,USA,-999
10006825,MCLEAN COUNTY JAIL,PO BOX 1108,WASHBURN,ND,58577,COUNTY,OPEN,-999,MCLEAN,38055,USA,-999
10003962,SAN CARLOS ADULT / JUVENILE REHAB DETENTION CENTER,PINAL ST,SAN CARLOS,AZ,85550,NOT AVAILABLE,OPEN,-999,GILA,4007,USA,156
10006576,WATCH WEST,P.O. BOX G,WARM SPRINGS,MT,59756,STATE,OPEN,113,DEER LODGE,30023,USA,115
10003619,LEWISVILLE JUVENILE TREATMENT CENTER,P.O. BOX 723,LEWISVILLE,AR,71638,STATE,OPEN,-999,LAFAYETTE,5073,USA,30
10000102,ROEDERER CORRECTIONAL COMPLEX,P.O. BOX 69,LAGRANGE,KY,40031,STATE,OPEN,1209,OLDHAM,21185,USA,1138
10004710,CALHOUN COUNTY JAIL,P.O. BOX 635,HARDIN,IL,62047,COUNTY,OPEN,-999,CALHOUN,17013,USA,2
10000420,RMC WORK CAMP,P.O. BOX 628,LAKE BUTLER,FL,32054,STATE,OPEN,431,UNION,12125,USA,432
10000311,TATTNALL COUNTY JAIL,P.O. BOX 545,REIDSVILLE,GA,30453,COUNTY,OPEN,82,TATTNALL,13267,USA,150
10003166,COLLINS CORRECTIONAL FACILITY,"P.O. BOX 490, MIDDLE RD",COLLINS,NY,14034,STATE,OPEN,1059,ERIE,36029,USA,1107
10004920,EDINBURGH CORRECTIONAL FACILITY,"P.O. BOX 470, 23RD & SCHOOLHOUSE RD",EDINBURGH,IN,46124,STATE,OPEN,315,JOHNSON,18081,USA,344
10006572,ELKHORN TREATMENT CENTER,P.O. BOX 448,BOULDER,MT,59632,STATE,OPEN,40,JEFFERSON,30043,USA,42
10005898,OREGON COUNTY JAIL,P.O. BOX 265,ALTON,MO,65606,COUNTY,OPEN,-999,OREGON,29149,USA,8
10001958,BETHEL YOUTH FACILITY,P.O. BOX 1989,BETHEL,AK,99559,STATE,OPEN,9,BETHEL,2050,USA,23
10005328,PILOT ROCK CONSERVATION FIRE CAMP #15,P.O. BOX 10,CRESTLINE,CA,92325,STATE,OPEN,67,SAN BERNARDINO,6071,USA,80
10005831,JESSUP CORRECTIONAL INSTITUTION,"P O BOX 549, HOUSE OF CORRECTION RD",JESSUP,MD,20794,STATE,OPEN,0,ANNE ARUNDEL,24003,USA,1068
10001560,MARYLAND CORRECTIONAL INSTITUTION - JESSUP,"P O BOX 549, HOUSE OF CORRECTION RD",JESSUP,MD,20794,STATE,OPEN,997,ANNE ARUNDEL,24003,USA,1038
10000919,JESSUP CORRECTIONAL INSTITUTION,"P O BOX 534, HOUSE OF CORRECTION RD",JESSUP,MD,20794,STATE,OPEN,1619,ANNE ARUNDEL,24003,USA,1750
10003167,GOWANDA CORRECTIONAL FACILITY,"P O BOX 350, SOUTH RD",GOWANDA,NY,14070,STATE,OPEN,1490,ERIE,36029,USA,1755
10003569,WILLIAM S KEY CORRECTIONAL CENTER,ONE WILLIAM S KEY BLVD,FORT SUPPLY,OK,73841,STATE,OPEN,1065,WOODWARD,40153,USA,1072
10003124,OGDENSBURG CORRECTIONAL FACILITY,ONE CORRECTION WAY,OGDENSBURG,NY,13669,STATE,OPEN,584,ST. LAWRENCE,36089,USA,-999
10006148,FCI BUTNER MEDIUM I,OLD N CAROLINA HWY 75,BUTNER,NC,27509,FEDERAL,OPEN,662,GRANVILLE,37077,USA,492
10001761,FCI BUTNER MEDIUM II,OLD N CAROLINA HWY 75,BUTNER,NC,27509,FEDERAL,OPEN,1549,GRANVILLE,37077,USA,1151
10001748,FCI BUTNER LOW,OLD N CAROLINA HWY 75,BUTNER,NC,27509,FEDERAL,OPEN,1197,GRANVILLE,37077,USA,992
10001760,FMC BUTNER,OLD N CAROLINA HWY 75,BUTNER,NC,27509,FEDERAL,OPEN,945,GRANVILLE,37077,USA,868
10004168,FCI BUTNER MEDIUM I CAMP,OLD N CAROLINA HWY 75,BUTNER,NC,27509,FEDERAL,OPEN,302,GRANVILLE,37077,USA,296
10002801,FSL LA TUNA (EL PASO),OLD IRONSIDES DRIVE BUILDING 11636,EL PASO,TX,79906,FEDERAL,OPEN,251,EL PASO,48141,USA,230
10006284,SAIPAN CORRECTIONAL FACILITY,NOT AVAILABLE,SUSUPE,MP,96950,STATE,OPEN,-999,NOT AVAILABLE,NOT AVAILABLE,MNP,64
10004387,FISHER COUNTY JAIL,NORTH 2ND STREET AND WATER STREET,ROBY,TX,79543,COUNTY,OPEN,3,FISHER,48151,USA,24
10000165,FMC CARSWELL,"NAVAL AIR STATION, J ST",FORT WORTH,TX,76127,FEDERAL,OPEN,1227,TARRANT,48439,USA,926
10001972,FMC CARSWELL CAMP,"NAVAL AIR STATION, J ST",FORT WORTH,TX,76127,FEDERAL,OPEN,306,TARRANT,48439,USA,314
10002560,SANGER B. POWERS CORRECTIONAL CENTER,N8375 COUNTY LINE RD,ONEIDA,WI,54155,STATE,OPEN,119,OUTAGAMIE,55087,USA,60
10002522,FLAMBEAU CORRECTIONAL CENTER,N671 COUNTY RD M,HAWKINS,WI,54530,STATE,OPEN,90,SAWYER,55113,USA,50
10000264,ALGER CORRECTIONAL FACILITY,N6141 INDUSTRIAL PARK DR,MUNISING,MI,49862,STATE,OPEN,886,ALGER,26003,USA,1246
10002558,JACKSON CORRECTIONAL INSTITUTION,N 6500 HAIPEK RD,BLACK RIVER FALLS,WI,54615,STATE,OPEN,982,JACKSON,55053,USA,837
10001347,OJIBWAY CORRECTIONAL FACILITY,N 5705 OJIBWAY RD,MARENISCO,MI,49947,STATE,OPEN,1112,GOGEBIC,26053,USA,1142
10000141,FPC MONTGOMERY,MAXWELL AIR FORCE BASE,MONTGOMERY,AL,36112,FEDERAL,OPEN,858,MONTGOMERY,1101,USA,920
10000790,SAN QUENTIN STATE PRISON (SQ),MAIN STREET,SAN QUENTIN,CA,94964,STATE,OPEN,3989,MARIN,6041,USA,3082
10006682,PATHWAY OF BALDWIN COUNTY,LOTTIE ROAD & EWING FARM RD,PERDIDO,AL,36502,COUNTY,OPEN,-999,BALDWIN,1003,USA,48
10003329,USP LEE,LEE COUNTY INDUSTRIAL PARK & HICKORY FLATS RD,PENNINGTON GAP,VA,24277,FEDERAL,OPEN,1316,LEE,51105,USA,960
10003330,USP LEE CAMP,LEE COUNTY INDUSTRIAL PARK & HICKORY FLATS RD,PENNINGTON GAP,VA,24277,FEDERAL,OPEN,76,LEE,51105,USA,128
10003762,KING SALMON JAIL,"KING SALMON AIR FORCE BASE, BLDG 150",KING SALMON,AK,99613,LOCAL,OPEN,-999,BRISTOL BAY,2060,USA,-999
10003075,FCI SCHUYLKILL,INTERSTATE 81 & 901 W,MINERSVILLE,PA,17954,FEDERAL,OPEN,947,SCHUYLKILL,42107,USA,826
10003076,FCI SCHUYLKILL CAMP,INTERSTATE 81 & 901 W,MINERSVILLE,PA,17954,FEDERAL,OPEN,210,SCHUYLKILL,42107,USA,296
10006858,JEFFERSON COUNTY WORK RELEASE CENTER,INDUSTRIAL PARK ROAD,DANDRIDGE,TN,37725,COUNTY,OPEN,52,JEFFERSON,47089,USA,49
10006804,RED LAKE DETENTION CENTER,HWY. 1 EAST,RED LAKE,MN,56671,LOCAL,OPEN,-999,BELTRAMI,27007,USA,65
10006538,FLORIDA STATE HOSPITAL-FORENSIC SERVICE,HIGHWAY 90,CHATTAHOOCHEE,FL,32324,STATE,OPEN,-999,GADSDEN,12039,USA,469
10002688,WATEREE RIVER CORRECTIONAL INSTITUTION,HIGHWAY 261,REMBERT,SC,29128,STATE,OPEN,812,SUMTER,45085,USA,828
10003721,ALEX CITY COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,HIGHWAY 22 WEST,ALEX CITY,AL,35011,STATE,OPEN,201,COOSA,1037,USA,346
10002998,TONOPAH CONSERVATION CAMP,"HC 76, BOX 8045",TONOPAH,NV,89049,STATE,OPEN,147,NYE,32023,USA,152
10000258,WELLS CONSERVATION CAMP,HC 67-50,WELLS,NV,89835,STATE,OPEN,142,ELKO,32007,USA,150
10003800,ELY CONSERVATION CAMP,HC 10 BOX 10813,ELY,NV,89301,STATE,OPEN,125,WHITE PINE,32033,USA,150
10000128,KULANI CORRECTIONAL FACILITY,"HC 01, STAINBACK HWY",HILO,HI,96720,STATE,OPEN,145,HAWAII,15001,USA,200
10001515,NEW JERSEY TRAINING SCHOOL,"GRACE HILL ROAD, P.O. BOX 500",MONROE TOWNSHIP,NJ,8831,STATE,OPEN,-999,MIDDLESEX,34023,USA,200
10002292,SUFFOLK COUNTY JAIL - YAPHANK,GLOVER DRIVE,YAPHANK,NY,11980,COUNTY,OPEN,677,SUFFOLK,36103,USA,504
10006152,FPC ALDERSON,GLEN RAY RD,ALDERSON,WV,24910,FEDERAL,OPEN,830,GREENBRIER,54025,USA,992
10004685,HENDERSON COUNTY JAIL,FOURTH AND WARREN STREET,OQUAWKA,IL,61469,COUNTY,OPEN,-999,HENDERSON,17071,USA,14
10000904,JULIUS KLEIN CONSERVATION CAMP #19,EAST FORK ROAD,AZUSA,CA,91702,STATE,OPEN,74,LOS ANGELES,6037,USA,-999
10006163,GOLDEN GROVE ADULT CORRECTIONAL FACILITY,EAST AIRPORT ROAD,CHRISTIANSTED,VI,820,NOT AVAILABLE,OPEN,-999,NOT AVAILABLE,78010,VIR,-999
10002225,ARROWHEAD CORRECTIONAL CENTER,E. US HIGHWAY 50 AND EVANS BLVD,CANON CITY,CO,81212,STATE,OPEN,521,FREMONT,8043,USA,520
10002226,CENTENNIAL CORRECTIONAL FACILITY,E US HIGHWAY 50 EVANS BLVD,CANON CITY,CO,81215,STATE,OPEN,306,FREMONT,8043,USA,336
10000576,FREMONT CORRECTIONAL FACILITY,E US HIGHWAY 50 EVANS BLVD,CANON CITY,CO,81215,STATE,OPEN,1606,FREMONT,8043,USA,1620
10002227,COLORADO STATE PENITENTIARY,E US HIGHWAY 50 EVANS BLVD,CANON CITY,CO,81215,STATE,OPEN,700,FREMONT,8043,USA,725
10000577,FOUR MILE CORRECTIONAL CENTER,E US HIGHWAY 50 & EVANS BLVD,CANON CITY,CO,81212,STATE,OPEN,528,FREMONT,8043,USA,521
10000575,SKYLINE CORRECTIONAL CENTER,E US HIGHWAY 50 & EVANS BLVD,CANON CITY,CO,81212,STATE,OPEN,250,FREMONT,8043,USA,252
10000994,FCI OXFORD,COUNTY RD G & ELK AVE,OXFORD,WI,53952,FEDERAL,OPEN,905,ADAMS,55001,USA,588
10002565,FCI OXFORD CAMP,COUNTY RD G & ELK AVE,OXFORD,WI,53952,FEDERAL,OPEN,113,ADAMS,55001,USA,208
10002345,CALIFORNIA MEN'S COLONY (CMC),COLONY DRIVE,SAN LUIS OBISPO,CA,93409,STATE,OPEN,4102,SAN LUIS OBISPO,6079,USA,3838
10005097,INSTITUCIÓN CORRECCIONAL ZARZAL,CARR. 3 KM. 32.9 BO. TRES T,RIO GRANDE,PR,745,STATE,OPEN,386,RIO GRANDE,72119,PRI,450
10005096,CAMPAMENTO ZARZAL,CARR. 3 KM 32.9 BO. TRES T,RIO GRANDE,PR,745,STATE,OPEN,347,RIO GRANDE,72119,PRI,500
10004354,INSTITUCIÓN CORRECCIONAL GUAYAMA (500),CARR. 3 KM 142.6,GUAYAMA,PR,785,STATE,OPEN,497,GUAYAMA,72057,PRI,516
10004351,ANEXO GUAYAMA (296),CARR. 3 KM 142.6,GUAYAMA,PR,785,STATE,OPEN,287,GUAYAMA,72057,PRI,296
10004353,INSTITUCIÓN CORRECCIONAL MAXIMA SEGURIDAD GUAYAMA (1000),CARR. 3 KM 142.6,GUAYAMA,PR,785,STATE,OPEN,511,GUAYAMA,72057,PRI,529
10004352,INSTITUCIÓN CORRECCIONAL GUAYAMA (945),CARR. 3 KM 142.6,GUAYAMA,PR,785,STATE,OPEN,301,GUAYAMA,72057,PRI,320
10006646,CENTRO DE DETENCIÓN Y TRATAMIENTO SOCIAL DE BAYAMÓN,CARR. 28 K. 1.5 BO JUAN SANCHEZ,BAYAMÓN,PR,960,STATE,OPEN,-999,BAYAMON,72021,PRI,-999
10001961,INSTITUCIÓN CORRECCIONAL GUERRERO,CARR. 2 INT. 466 BO GUERRERO,AGUADILLA,PR,603,STATE,OPEN,921,AGUADILLA,72005,PRI,1000
10005101,CENTRO DE TRATAMIENTO SOCIAL DE VILLALBA,CARR. 149 K 58.8 BO. TIERRA SANTA,VILLALBA,PR,766,STATE,OPEN,-999,VILLALBA,72149,PRI,-999
10004347,CENTRO DE DETENCIÓN DEL OESTE,CARR. 105 BO LIMÓN KM 0.9,MAYAGUEZ,PR,681,STATE,OPEN,513,MAYAGUEZ,72097,PRI,546
10004348,CENTRO DE TRATAMIENTO SOCIAL DE HUMACAO,CARR 924 K 4.5 CO. MAMBICHE BLANCO,HUMACAO,PR,791,STATE,OPEN,-999,HUMACAO,72069,PRI,-999
10001962,INSTITUCIÓN CORRECCIONAL SABANA HOYOS (216),CARR 628 KM 3 BO JOVALES SECTOR SABANA HOYOS,ARECIBO,PR,612,STATE,OPEN,139,ARECIBO,72013,PRI,216
10005725,ANEXO SEGURIDAD MÁXIMA BAYAMÓN (292),CARR 5 AVE. CENTRAL JUANITA FINAL,BAYAMÓN,PR,960,STATE,OPEN,279,BAYAMON,72021,PRI,292
10005726,INSTITUCIÓN CORRECCIONAL BAYAMÓN (308/448),CARR 5 AVE. CENTRAL JUANITA FINAL,BAYAMÓN,PR,960,STATE,OPEN,365,BAYAMON,72021,PRI,563
10006159,CENTRO DE INGRESOS METROPOLITANO BAYAMÓN (705),CARR 5 AVE. CENTRAL JUANITA FINAL,BAYAMÓN,PR,960,STATE,OPEN,566,BAYAMON,72021,PRI,705
10006160,INSTITUCIÓN CORRECCIONAL BAYAMÓN (501),CARR 5 AVE. CENTRAL JUANITA FINAL,BAYAMÓN,PR,960,STATE,OPEN,508,CATANO,72021,PRI,516
10005724,CENTRO DETENCIÓN BAYAMÓN (1072),CARR 5 AVE. CENTRAL JUANITA FINAL,BAYAMÓN,PR,960,STATE,OPEN,1230,BAYAMON,72021,PRI,1428
10004346,PROGRAMA AGRICOLA DE LA MONTANA,CARR 140 KM 2.2 BO LA PICA,JAYUYA,PR,664,STATE,OPEN,21,JAYUYA,72073,PRI,50
10003263,HAYNESVILLE CORRECTIONAL UNIT #17,CAMP SEVENTEEN RD,HAYNESVILLE,VA,22472,STATE,OPEN,111,RICHMOND,51159,USA,114
10005099,HOGAR DE ADAPTACIÓN SOCIAL DE FAJARDO,CALLE IGUALDAD FINAL 395,FAJARDO,PR,738,STATE,OPEN,38,FAJARDO,72053,PRI,36
10004007,JOHNSTONE JUVENILE FEMALE SECURE CARE AND INTAKE FACILITY,"BURLINGTON ST, P.O. BOX 367",BORDENTOWN,NJ,8505,STATE,OPEN,-999,BURLINGTON,34005,USA,48
10004006,JOHNSTONE JUVENILE MEDIUM SECURITY FACILITY,"BURLINGTON ST, P.O. BOX 307",BORDENTOWN,NJ,8505,STATE,OPEN,-999,BURLINGTON,34005,USA,262
10004015,ATLANTIC YOUTH CENTER - HARBORFIELDS,BUFFALO AVE & DUERER ST (800 BUFFALO AVE),EGG HARBOR CITY,NJ,8215,STATE,OPEN,-999,ATLANTIC,34001,USA,27
10001964,CENTRO DE TRATAMIENTO RESIDENCIAL DE ARECIBO,BO SAN LUIS AVE DE DIEGO CARR 2 405,ARECIBO,PR,612,STATE,OPEN,71,ARECIBO,72013,PRI,75
10001963,ANNEX SABANA HOYOS (384),BO MANANTIALES SECTOR JOBALES CARR. 628 KM 3.9,ARECIBO,PR,612,STATE,OPEN,296,ARECIBO,72013,PRI,384
10006645,INSTITUCIÓN CORRECCIONAL SABANA HOYOS (728),BO MANANTIALES SECTOR JOBALES CARR 628 KM 3.9,ARECIBO,PR,612,STATE,OPEN,589,ARECIBO,72013,PRI,728
10005106,INSTITUCIÓN CORRECCIONAL JÓVENES ADULTOS PONCE (304),BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,214,PONCE,72113,PRI,304
10005727,VIVIENDA ALTERNA ANEXO 246 PONCE,BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,227,PONCE,72113,PRI,246
10005107,INSTITUCIÓN CORRECCIONAL PONCE PRINCIPAL,BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,-999,PONCE,72113,PRI,534
10005104,ANEXO CUSTODIA MÍNIMA PONCE,BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,182,PONCE,72113,PRI,192
10004349,CENTRO DE CLASIFICACIÓN FASE III,BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,277,PONCE,72113,PRI,280
10005102,INSTITUCIÓN ADULTOS PONCE (1000),BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,524,PONCE,72113,PRI,831
10005103,INSTITUCIÓN MÁXIMA SEGURIDAD PONCE,BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,395,PONCE,72113,PRI,420
10005105,CENTRO DE INGRESOS DEL SUR PONCE (676),BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,564,PONCE,72113,PRI,676
10005108,FACILIDAD MEDICA CORRECCIONAL PONCE (500),BO EL TUQUE SECTOR LAS CUCHARAS CARR 2,PONCE,PR,731,STATE,OPEN,368,PONCE,72113,PRI,486
10003958,CHINLE ADULT CORRECTIONS CENTER,BLDG. 1330 NAVAJO RT 7,CHINLE,AZ,86503,LOCAL,OPEN,-999,APACHE,4001,USA,-999
10006794,MARQUETTE COUNTY COMMUNITY CORRECTIONS DETENTION CENTER,BASIL ROAD,MARQUETTE,MI,49855,COUNTY,OPEN,-999,MARQUETTE,26103,USA,60
10005721,HOGAR INTERMEDIO PARA MUJERES SAN JUAN,AVE. FERNANDEZ JUNCOS ESQ. RAMÓN POWER PUERTA DE TIERRA,SAN JUAN,PR,901,STATE,OPEN,35,SAN JUAN,72127,PRI,38
10003997,MIDDLESEX COUNTY JUVENILE DETENTION CENTER,APPLE ORCHARD LANE,NORTH BRUNSWICK,NJ,8902,COUNTY,OPEN,56,MIDDLESEX,34023,USA,100
10006852,BLEDSOE COUNTY JAIL,ALLEN P. DEAKINS ROAD,PIKEVILLE,TN,37367,COUNTY,OPEN,104,BLEDSOE,47007,USA,96
10000249,WEBB COUNTY DETENTION CENTER,9998 S HWY 83,LAREDO,TX,78046,MULTI,OPEN,2,WEBB,48479,USA,480
10000795,SAN JOAQUIN COUNTY JAIL (HONOR FARM),999 W MATHEWS RD,FRENCH CAMP,CA,95231,COUNTY,OPEN,292,SAN JOAQUIN,6077,USA,-999
10005450,JOHNSON COUNTY JAIL,999 HONEYSUCKLE STREET,MOUNTAIN CITY,TN,37683,COUNTY,OPEN,106,JOHNSON,47091,USA,114
10006548,SILVER OAK ACADEMY,999 CROUSE MILL ROAD,KEYMAR,MD,21757,STATE,OPEN,-999,CARROLL,24013,USA,-999
10003931,HARRIS COUNTY CORRECTIONAL INSTITUTION,9982 HIGHWAY 116,HAMILTON,GA,31811,COUNTY,OPEN,154,HARRIS,13145,USA,125
10002714,FORMBY STATE JAIL,998 COUNTY RD AA,PLAINVIEW,TX,79072,STATE,OPEN,974,HALE,48189,USA,1100
10003353,LORAIN COUNTY YOUTH DETENTION HOMES-BOYS & GIRLS,9967 S MURRAY RIDGE RD,ELYRIA,OH,44035,COUNTY,OPEN,40,LORAIN,39093,USA,56
10006781,WEST FELICIANA PARISH TRANSITIONAL WORK PROGRAM,9943 WEST FELICIANA PARKWAY,ST. FRANCISVILLE,LA,70775,COUNTY,OPEN,242,WEST FELICIANA,22125,USA,276
10002367,ALFRED D NOYES CHILDREN'S CENTER,9925 BLACKWELL RD,ROCKVILLE,MD,20850,STATE,OPEN,28,MONTGOMERY,24031,USA,57
10002629,CLARA WATERS COMMUNITY CORRECTIONS CENTER,9901 N I-35 SERVICE RD,OKLAHOMA CITY,OK,73131,STATE,OPEN,297,OKLAHOMA,40109,USA,288
10001138,LEE CORRECTIONAL INSTITUTION,990 WISACKY HWY,BISHOPVILLE,SC,29010,STATE,OPEN,1521,LEE,45061,USA,1576
10000124,HALAWA CORRECTIONAL FACILITY,99-902 MOANALUA RD,AIEA,HI,96701,STATE,OPEN,752,HONOLULU,15003,USA,1124
10003060,LUZERNE COUNTY CORRECTIONAL FACILITY,99 WATER ST,WILKES-BARRE,PA,18702,COUNTY,OPEN,596,LUZERNE,42079,USA,778
10003201,WOODBOURNE CORRECTIONAL FACILITY,99 PRISON RD,WOODBOURNE,NY,12788,STATE,OPEN,798,SULLIVAN,36105,USA,853
10002631,ROCKINGHAM COUNTY JAIL / HOUSE OF CORRECTIONS,99 NORTH RD,BRENTWOOD,NH,3833,COUNTY,OPEN,222,ROCKINGHAM,33015,USA,387
10004444,MCI - FRAMINGHAM,99 LORING DRIVE,FRAMINGHAM,MA,1701,STATE,OPEN,478,MIDDLESEX,25017,USA,572
10006490,COSTA MESA JAIL,99 FAIR DRIVE,COSTA MESA,CA,92626,LOCAL,OPEN,-999,ORANGE,6059,USA,32
